2026-04-11 17:07:34,229 | INFO | uvicorn.error | Started server process [3280]
2026-04-11 17:07:34,229 | INFO | uvicorn.error | Waiting for application startup.
2026-04-11 17:07:34,230 | INFO | app.main | Starting WM Distribuidora API in development mode
2026-04-11 17:07:34,230 | INFO | uvicorn.error | Application startup complete.
2026-04-11 17:07:34,231 | INFO | uvicorn.error | Uvicorn running on http://127.0.0.1:8013 (Press CTRL+C to quit)
2026-04-11 17:07:34,596 | INFO | uvicorn.access | 127.0.0.1:55790 - "GET /api/v1/health HTTP/1.1" 200
2026-04-11 17:07:35,481 | INFO | uvicorn.access | 127.0.0.1:55793 - "POST /api/v1/auth/login HTTP/1.1" 200
2026-04-11 17:07:35,509 | INFO | app.audit | admin_audit {"action": "shipping_rule_created", "actor_email": "admin-2870e1f7@example.com", "actor_id": "93d77936-609a-44c8-b95b-c6794e666028", "actor_role": "admin", "details": {"rule_name": "Centro Rio Branco", "zip_code_end": "69900999", "zip_code_start": "69900000"}, "entity": "shipping_rule", "entity_id": "35d04df1-8656-446e-8ef9-75f3ab04b4cd"}
2026-04-11 17:07:35,510 | INFO | uvicorn.access | 127.0.0.1:55793 - "POST /api/v1/admin/shipping-rules HTTP/1.1" 201
2026-04-11 17:07:35,536 | INFO | app.audit | admin_audit {"action": "category_created", "actor_email": "admin-2870e1f7@example.com", "actor_id": "93d77936-609a-44c8-b95b-c6794e666028", "actor_role": "admin", "details": {"name": "Carregadores"}, "entity": "category", "entity_id": "885d6c14-0fb5-4809-a455-0607f55916ff"}
2026-04-11 17:07:35,537 | INFO | uvicorn.access | 127.0.0.1:55793 - "POST /api/v1/admin/categories HTTP/1.1" 201
2026-04-11 17:07:35,565 | INFO | app.audit | admin_audit {"action": "product_created", "actor_email": "admin-2870e1f7@example.com", "actor_id": "93d77936-609a-44c8-b95b-c6794e666028", "actor_role": "admin", "details": {"category_id": "885d6c14-0fb5-4809-a455-0607f55916ff", "name_base": "Carregadores Motorola"}, "entity": "product", "entity_id": "6192c273-27cc-40c1-b52b-6655912fb8e7"}
2026-04-11 17:07:35,566 | INFO | uvicorn.access | 127.0.0.1:55793 - "POST /api/v1/admin/products HTTP/1.1" 201
2026-04-11 17:07:35,602 | INFO | app.audit | admin_audit {"action": "product_item_created", "actor_email": "admin-2870e1f7@example.com", "actor_id": "93d77936-609a-44c8-b95b-c6794e666028", "actor_role": "admin", "details": {"internal_code": "CA900", "sku": "WM-CA900"}, "entity": "product_item", "entity_id": "30e765db-8c69-4501-82fb-34839efa6603"}
2026-04-11 17:07:35,603 | INFO | uvicorn.access | 127.0.0.1:55793 - "POST /api/v1/admin/product-items HTTP/1.1" 201
2026-04-11 17:07:35,866 | INFO | app.services.auth_service | New customer registered: customer-13244cd1@example.com
2026-04-11 17:07:35,867 | INFO | uvicorn.access | 127.0.0.1:55793 - "POST /api/v1/auth/register HTTP/1.1" 201
2026-04-11 17:07:36,222 | INFO | uvicorn.access | 127.0.0.1:55793 - "POST /api/v1/auth/login HTTP/1.1" 200
2026-04-11 17:07:36,284 | INFO | uvicorn.access | 127.0.0.1:55793 - "POST /api/v1/cart/items HTTP/1.1" 200
2026-04-11 17:07:36,393 | INFO | app.audit | admin_audit {"action": "order_created", "actor_email": "customer-13244cd1@example.com", "actor_id": "6ce71c8b-1a49-4a73-a4e3-b8805bd729c2", "actor_role": "customer", "details": {"fulfillment_type": "pickup", "shipping_price": "0.00", "subtotal": "159.80", "total": "159.80"}, "entity": "order", "entity_id": "cb6a998c-52ec-416a-96a1-bd351cd5da0c"}
2026-04-11 17:07:36,394 | INFO | uvicorn.access | 127.0.0.1:55793 - "POST /api/v1/orders HTTP/1.1" 201
2026-04-11 17:07:36,590 | INFO | uvicorn.access | 127.0.0.1:55793 - "POST /api/v1/cart/items HTTP/1.1" 200
2026-04-11 17:07:36,759 | INFO | app.audit | admin_audit {"action": "order_created", "actor_email": "customer-13244cd1@example.com", "actor_id": "6ce71c8b-1a49-4a73-a4e3-b8805bd729c2", "actor_role": "customer", "details": {"fulfillment_type": "delivery", "shipping_price": "19.90", "subtotal": "79.90", "total": "99.80"}, "entity": "order", "entity_id": "5f1dd9cd-4bd3-4b97-8a21-65f6e9983328"}
2026-04-11 17:07:36,761 | INFO | uvicorn.access | 127.0.0.1:55793 - "POST /api/v1/orders HTTP/1.1" 201
2026-04-11 17:07:36,866 | INFO | uvicorn.access | 127.0.0.1:55793 - "GET /api/v1/orders/me?page=1&page_size=20 HTTP/1.1" 200
2026-04-11 17:07:36,936 | INFO | uvicorn.access | 127.0.0.1:55793 - "GET /api/v1/admin/orders?page=1&page_size=20 HTTP/1.1" 200
2026-04-11 17:07:37,026 | INFO | app.audit | admin_audit {"action": "order_assigned_employee", "actor_email": "admin-2870e1f7@example.com", "actor_id": "93d77936-609a-44c8-b95b-c6794e666028", "actor_role": "admin", "details": {"assigned_employee_id": "05c07e04-930d-4b38-9d2f-0502c2c37c62"}, "entity": "order", "entity_id": "5f1dd9cd-4bd3-4b97-8a21-65f6e9983328"}
2026-04-11 17:07:37,027 | INFO | uvicorn.access | 127.0.0.1:55793 - "PATCH /api/v1/admin/orders/5f1dd9cd-4bd3-4b97-8a21-65f6e9983328/assign-employee HTTP/1.1" 200
